month,year,month_year,move_counts,company
Jan,2017,Jan_2017,15803,divvy
Feb,2017,Feb_2017,14981,divvy
Mar,2017,Mar_2017,16556,divvy
Apr,2017,Apr_2017,20734,divvy
May,2017,May_2017,31931,divvy
Jun,2017,Jun_2017,36309,divvy
Jul,2017,Jul_2017,40744,divvy
Aug,2017,Aug_2017,42075,divvy
Sep,2017,Sep_2017,37265,divvy
Oct,2017,Oct_2017,26806,divvy
Nov,2017,Nov_2017,19466,divvy
Dec,2017,Dec_2017,12565,divvy
Jan,2018,Jan_2018,13708,divvy
Feb,2018,Feb_2018,10873,divvy
Mar,2018,Mar_2018,17557,divvy
Apr,2018,Apr_2018,20356,divvy
May,2018,May_2018,30422,divvy
Jun,2018,Jun_2018,32678,divvy
Jul,2018,Jul_2018,33977,divvy
Aug,2018,Aug_2018,33134,divvy
Sep,2018,Sep_2018,28824,divvy
Oct,2018,Oct_2018,23747,divvy
Nov,2018,Nov_2018,13953,divvy
Dec,2018,Dec_2018,11015,divvy
Jan,2019,Jan_2019,12056,divvy
Feb,2019,Feb_2019,8737,divvy
Mar,2019,Mar_2019,14439,divvy
Apr,2019,Apr_2019,19731,divvy
May,2019,May_2019,27840,divvy
Jun,2019,Jun_2019,32136,divvy
Jul,2019,Jul_2019,37510,divvy
Aug,2019,Aug_2019,36933,divvy
Sep,2019,Sep_2019,30569,divvy
Oct,2019,Oct_2019,28023,divvy
Nov,2019,Nov_2019,13549,divvy
Dec,2019,Dec_2019,10738,divvy
Jan,2017,Jan_2017,2480,bluebikes
Feb,2017,Feb_2017,1266,bluebikes
Mar,2017,Mar_2017,2993,bluebikes
Apr,2017,Apr_2017,8408,bluebikes
May,2017,May_2017,10549,bluebikes
Jun,2017,Jun_2017,11493,bluebikes
Jul,2017,Jul_2017,10299,bluebikes
Aug,2017,Aug_2017,11519,bluebikes
Sep,2017,Sep_2017,9488,bluebikes
Oct,2017,Oct_2017,10010,bluebikes
Nov,2017,Nov_2017,7231,bluebikes
Dec,2017,Dec_2017,4211,bluebikes
Jan,2018,Jan_2018,4078,bluebikes
Feb,2018,Feb_2018,4873,bluebikes
Mar,2018,Mar_2018,4531,bluebikes
Apr,2018,Apr_2018,6951,bluebikes
May,2018,May_2018,12623,bluebikes
Jun,2018,Jun_2018,13066,bluebikes
Jul,2018,Jul_2018,14854,bluebikes
Aug,2018,Aug_2018,15270,bluebikes
Sep,2018,Sep_2018,13711,bluebikes
Oct,2018,Oct_2018,14242,bluebikes
Nov,2018,Nov_2018,9431,bluebikes
Dec,2018,Dec_2018,7537,bluebikes
Jan,2019,Jan_2019,8520,bluebikes
Feb,2019,Feb_2019,7053,bluebikes
Mar,2019,Mar_2019,9388,bluebikes
Apr,2019,Apr_2019,12290,bluebikes
May,2019,May_2019,14303,bluebikes
Jun,2019,Jun_2019,16610,bluebikes
Jul,2019,Jul_2019,21274,bluebikes
Aug,2019,Aug_2019,21950,bluebikes
Sep,2019,Sep_2019,22528,bluebikes
Oct,2019,Oct_2019,21977,bluebikes
Nov,2019,Nov_2019,14580,bluebikes
Dec,2019,Dec_2019,8105,bluebikes
