Row Labels,Average of avg,,,,,,,,Bluebike,Divvy
2017,1.961268952,,,,,,,Autumn 2017,1.906187232,1.9323628
Autumn,1.9323628,,,,,,,Spring 2017,1.855516232,1.973709099
9,2.062130834,,,,,,,Summer 2017,2.0075971,2.155635474
10,1.958470102,,,,,,,Winter 2017,1.554270278,1.783368434
11,1.776487465,,,,,,,Autumn 2018,1.948497623,2.02890649
Spring,1.973709099,,,,,,,Spring 2018,1.944187257,2.051047247
3,1.789790533,,,,,,,Summer 2018,2.081460507,2.347258214
4,2.052605776,,,,,,,Winter 2018,1.859915847,1.764465956
5,2.078730988,,,,,,,Autumn 2019,2.005415485,2.109428651
Summer,2.155635474,,,,,,,Spring 2019,2.020734571,2.13455105
6,2.172400167,,,,,,,Summer 2019,2.130261414,2.431208052
7,2.17990763,,,,,,,Winter 2019,1.864119923,1.790661279
8,2.114598624,,,,,,,,,
Winter,1.783368434,,,,,,,,,
1,1.716327239,,,,,,,,,
2,1.912354312,,,,,,,,,
12,1.721423751,,,,,,,,,
2018,2.047919477,,,,,,,,,
Autumn,2.02890649,,,,,,,,,
9,2.237563553,,,,,,,,,
10,2.03086763,,,,,,,,,
11,1.818288286,,,,,,,,,
Spring,2.051047247,,,,,,,,,
3,1.863488568,,,,,,,,,
4,1.992590552,,,,,,,,,
5,2.297062622,,,,,,,,,
Summer,2.347258214,,,,,,,,,
6,2.337831961,,,,,,,,,
7,2.392530798,,,,,,,,,
8,2.311411884,,,,,,,,,
Winter,1.764465956,,,,,,,,,
1,1.700734262,,,,,,,,,
2,1.777962037,,,,,,,,,
12,1.81470157,,,,,,,,,
2019,2.116462258,,,,,,,,,
Autumn,2.109428651,,,,,,,,,
9,2.320288189,,,,,,,,,
10,2.126097131,,,,,,,,,
11,1.881900634,,,,,,,,,
Spring,2.13455105,,,,,,,,,
3,1.932267125,,,,,,,,,
4,2.179283264,,,,,,,,,
5,2.29210276,,,,,,,,,
Summer,2.431208052,,,,,,,,,
6,2.416793996,,,,,,,,,
7,2.450596584,,,,,,,,,
8,2.426233576,,,,,,,,,
Winter,1.790661279,,,,,,,,,
1,1.773641131,,,,,,,,,
2,1.729070231,,,,,,,,,
12,1.869272476,,,,,,,,,
Grand Total,2.041883562,,,,,,,,,
